Location Name,Avg LMP,Avg Energy Component,Avg Congestion Component,Avg Marginal Loss Component,Latitude,Longitude
AR.BEARSWMP13.8BSW1P,60.79079212454212,62.67807921245421,-0.0811172161172161,-1.806169871794872,42.683761,-72.950073
AR.BEARSWMP13.8BSW2P,60.79079212454212,62.67807921245421,-0.0811172161172161,-1.806169871794872,42.683761,-72.950073
AR.BERLN_NH22  BRLBD,61.24971840659341,62.67807921245421,-0.1956227106227106,-1.2327380952380953,44.463,-71.1797
AR.MADISON 34.5MADBD,57.63782394688645,62.67807921245421,-2.6864022435897437,-2.3538530219780216,44.781105,-69.913812
AR.NORTHFLD13.8NFD1P,61.79197000915751,62.67807921245421,-0.0475789835164835,-0.8385302197802197,42.611139,-72.468472
AR.NORTHFLD13.8NFD2P,61.79197000915751,62.67807921245421,-0.0475789835164835,-0.8385302197802197,42.611139,-72.468472
AR.NORTHFLD13.8NFD3P,61.79197000915751,62.67807921245421,-0.0475789835164835,-0.8385302197802197,42.611139,-72.468472
AR.NORTHFLD13.8NFD4P,61.79197000915751,62.67807921245421,-0.0475789835164835,-0.8385302197802197,42.611139,-72.468472
AR.POWERSVL115 MLNBD,55.91926053113553,62.67807921245421,-4.387728937728937,-2.3710897435897436,45.618,-68.578306
AR.ROCKY_RV13.8ROCKP,60.69348672161173,62.67807921245421,-0.2547287087912088,-1.729863782051282,41.582662,-73.434252
AR.RUMFD_FL11.5RFRBD,60.380149954212456,62.67807921245421,-0.5308985805860806,-1.7670306776556777,44.550598,-70.543197
AR.VAUGH_PD34.5CARBD,45.452821750321746,45.0747249034749,0.0822265122265122,0.2958703346203346,41.896518,-70.788761
AR.W_BUXTON34.5BONBD,62.57848443223443,62.67807921245421,0.1498546245421245,-0.2494494047619047,43.665932,-70.596579
AR.YARMOUTH6.9 CABBD,62.76869734432234,62.67807921245421,0.1532543498168498,-0.0626362179487179,43.751242,-70.155516
LD.2121A_T 34.5,61.25520947802198,62.67807921245421,-0.7415499084249084,-0.681319826007326,44.1392,-69.0967
LD.5CORNRS 13.2T1 LD,62.272601877289375,62.67807921245421,-0.0131868131868131,-0.392290521978022,42.249705,-72.535697
LD.5CORNRS 13.2T2 LD,62.27230311355311,62.67807921245421,-0.0131868131868131,-0.3925892857142857,42.249705,-72.535697
LD.9DRAGONS115,60.380149954212456,62.67807921245421,-0.5308985805860806,-1.7670306776556777,44.549482,-70.540993
LD.ACUSHNET13.2,63.6451945970696,62.67807921245421,0.0933070054945054,0.8738083791208792,41.670892,-70.913653
LD.ADAMS   23,61.00252632783882,62.67807921245421,-0.0803331043956043,-1.5952197802197805,42.654671,-73.105972
LD.ADMIRAL 23  ,62.58661744505494,62.67807921245421,0.4372378663003663,-0.5286996336996337,41.841648,-71.421239
LD.AGAWAM  13.8,62.07798076923077,62.67807921245421,-0.0114491758241758,-0.5886492673992674,42.090607,-72.635266
LD.ALEWIFE 13.8,63.648984661172165,62.67807921245421,0.1553479853479853,0.8155574633699634,42.391567,-71.143261
LD.ALLINGS 13.8,60.72341117216117,62.67807921245421,-0.2640636446886447,-1.6906043956043957,41.267147,-72.974009
LD.AMES_ST 13.8,63.47886675824176,62.67807921245421,0.085367445054945,0.7154201007326008,42.101401,-71.016738
LD.AMHERST 34.5,62.60529189560439,62.67807921245421,-0.0379029304029304,-0.0348843864468864,42.809003,-71.592836
LD.AMHRST  13.8EAST LD,62.270754349816855,62.67807921245421,-0.0131868131868131,-0.3941380494505495,42.373659,-72.507484
LD.AMHRST  13.8WEST LD,61.37495421245421,62.67807921245421,-0.064951923076923,-1.238173076923077,42.373659,-72.507484
LD.ANDREWSQ13.8110AC LD,63.69617788461539,62.67807921245421,0.1570821886446886,0.8610164835164835,42.329112,-71.058546
LD.ANDREWSQ13.8110BD LD,63.69617788461539,62.67807921245421,0.1570821886446886,0.8610164835164835,42.329112,-71.058546
LD.ANHEUSBH12.5,62.85504807692307,62.67807921245421,0.1443040293040293,0.0326648351648351,42.828673,-71.487222
LD.ANSONIA 13.8,60.1824255952381,62.67807921245421,-0.2994207875457875,-2.19623282967033,41.347378,-73.085694
LD.ARSENE  13.2,63.60034684065934,62.67807921245421,0.0938965201465201,0.828371108058608,41.639936,-70.875174
LD.ASCUTNEY46,63.52779761904762,62.67807921245421,-0.0421279761904761,0.8918463827838828,43.401128,-72.41952
LD.ASHBRNHM13.8,62.89352106227107,62.67807921245421,-0.0426041666666666,0.2580460164835165,42.616864,-71.926728
LD.ASHCREEK13.8,60.49998855311355,62.67807921245421,-0.2544929029304029,-1.9235977564102564,41.156295,-73.234142
LD.ASHFIELD23,61.19722527472527,62.67807921245421,-0.0712591575091575,-1.40959478021978,42.537639,-72.791151
LD.ASHLAND 34.5,63.974717261904765,62.67807921245421,0.0609134615384615,1.235724587912088,43.691333,-71.637667
LD.ATHENSME12.5,58.84205815018315,62.67807921245421,-1.617845695970696,-2.218175366300366,44.944722,-69.65925
LD.AUGSTA_E34.5,60.94799336080587,62.67807921245421,-0.9814468864468864,-0.7486389652014651,44.329432,-69.746281
LD.AYER    69,62.8732967032967,62.67807921245421,0.0612969322344322,0.1339205586080586,42.565954,-71.592952
LD.BAIRD   13.81X_LD,60.34354624542125,62.67807921245421,-0.2705128205128205,-2.0640201465201464,41.185073,-73.144435
LD.BAIRD   13.82X_LD,60.353629807692315,62.67807921245421,-0.2700824175824176,-2.0543669871794874,41.185073,-73.144435
LD.BAKER_ST24.0,63.83072802197802,62.67807921245421,0.1605815018315018,0.9920673076923078,42.2804,-71.1691
